Ártal,Grófflokkun,Fínflokkun,Lýsing,Nánar,Virkur,Listi sakarefna í Réttarvörslugátt/Frá dómstólum,Spurningar / athugasemdir
2020-243-005-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á reglum um lokun samkomustaða og starfsemi vegna sérstakrar smithættu,,TRUE,Sérrefsilagabrot önnur,
2020-259-003-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á skyldu til að fara í sóttkví,Brot á skyldu til að fara í sóttkví,TRUE,Sérrefsilagabrot önnur,
2020-259-004-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á skyldum einstaklinga sem eru í sóttkví,"Einstaklingur má ekki dvelja í sameiginlegum rýmum fjölbýlishúsa, svo sem stigagöngum, þvottahúsum eða sameiginlegum görðum/útivistarsvæðum, nema á leið inn og út",TRUE,Sérrefsilagabrot önnur,
2020-259-004-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á skyldum einstaklinga sem eru í sóttkví,Einstaklingur má ekki fara til vinnu eða skóla þar sem aðrir eru,TRUE,Sérrefsilagabrot önnur,
2020-259-004-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á skyldum einstaklinga sem eru í sóttkví,"Einstaklingur má ekki fara út af heimili nema brýna nauðsyn beri til, svo sem til að sækja nauðsynlega heilbrigðisþjónustu.",TRUE,Sérrefsilagabrot önnur,
2020-259-004-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á skyldum einstaklinga sem eru í sóttkví,Einstaklingur má ekki nota almenningssamgöngur eða leigubíla,TRUE,Sérrefsilagabrot önnur,
2020-259-004-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á skyldum einstaklinga sem eru í sóttkví,Einstaklingur má ekki taka á móti gestum á heimili sínu meðan sóttkví stendur yfir.,TRUE,Sérrefsilagabrot önnur,
2020-259-004-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á skyldum einstaklinga sem eru í sóttkví,"Einstaklingur má hvorki fara á mannamót né á staði þar sem margir koma saman, þ.m.t. í verslanir eða lyfjabúði",TRUE,Sérrefsilagabrot önnur,
2020-259-007-001,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Einstaklingur sem er með staðfesta sýkingu af COVID-19 eða ætla má að  kunni að vera smitaður sinnir ekki einangrun,,TRUE,Sérrefsilagabrot önnur,
2020-259-007-002,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Einstaklingur í einangrun heldur sig ekki  heima við og hefur bein samskipti við fleiri en skyldi,,TRUE,Sérrefsilagabrot önnur,
2021-066-000-000,Sérrefsilagabrot,Sérrefsilög,Skipalög,,TRUE,Sérrefsilagabrot önnur,
2021-110-034-000,Sérrefsilagabrot,Sérrefsilög,Lög um félög til almannaheilla,Brot gegn 34. grein a.,TRUE,Sérrefsilagabrot önnur,
2021-110-034-000,Sérrefsilagabrot,Sérrefsilög,Lög um félög til almannaheilla,Brot gegn 34. grein b.,TRUE,Sérrefsilagabrot önnur,
2021-110-035-000,Sérrefsilagabrot,Sérrefsilög,Lög um félög til almannaheilla,Brot gegn 35. grein a.,TRUE,Sérrefsilagabrot önnur,
2021-110-035-000,Sérrefsilagabrot,Sérrefsilög,Lög um félög til almannaheilla,Brot gegn 35. grein b.,TRUE,Sérrefsilagabrot önnur,
2021-110-035-000,Sérrefsilagabrot,Sérrefsilög,Lög um félög til almannaheilla,Brot gegn 35. grein c.,TRUE,Sérrefsilagabrot önnur,
2021-110-035-000,Sérrefsilagabrot,Sérrefsilög,Lög um félög til almannaheilla,Brot gegn 35. grein d.,TRUE,Sérrefsilagabrot önnur,
2021-110-035-000,Sérrefsilagabrot,Sérrefsilög,Lög um félög til almannaheilla,Brot gegn 35. grein e.,TRUE,Sérrefsilagabrot önnur,
2021-112-000-000,Sérrefsilagabrot,Stjórnarfar - félagsmálefni,Kosningalög,,TRUE,Sérrefsilagabrot önnur,
2021-1320-0000-000,Sérrefsilagabrot,Lögreglusamþykktir,Brot á lögreglusamþykkt fyrir Vestmannaeyjabæ,,TRUE,Brot gegn lögreglusamþykkt,
2021-161-004-000,Sérrefsilagabrot,Sérrefsilög,Sýnataka við landamæri Íslands,PCR-próf vantar eða er ófullnægjandi,TRUE,Sérrefsilagabrot önnur,
2021-650-002-000,Sérrefsilagabrot,Stjórnarfar - samgöngur,Brot á skyldum flugrekanda/umráðanda loftfars vegna COVID-19,,TRUE,Sérrefsilagabrot önnur,
2021-710-000-000,Sérrefsilagabrot,Lögreglusamþykktir,Brot á lögreglusamþykkt fyrir Akureyrarbæ,,TRUE,Brot gegn lögreglusamþykkt,
2021-711-000-000,Sérrefsilagabrot,Lögreglusamþykktir,Brot á lögreglusamþykkt fyrir Fjallabyggð,,TRUE,Brot gegn lögreglusamþykkt,
2022-070-0000-000,Sérrefsilagabrot,Stjórnarfar - samgöngur,Brot á lögum um fjarskipti,,TRUE,Sérrefsilagabrot önnur,
2022-080-103-000,Sérrefsilagabrot,Lög um loftferðir,"Lög um loftferðir, aðgæsluskylda umráðamanns ómannaðs loftfars ófullnægjandi",,TRUE,Sérrefsilagabrot önnur,
2022-120-0000-000,Sérrefsilagabrot,Sérrefsilög,Lög um leigubifreiðaakstur,,TRUE,Sérrefsilagabrot önnur,
2022-136-014-003,Sérrefsilagabrot,Stjórnarfar - lögreglumálefni,Lög um landamæri - Brottvísun við brottför,Án endurkomubanns,TRUE,Sérrefsilagabrot önnur,
2022-136-014-003,Sérrefsilagabrot,Stjórnarfar - lögreglumálefni,Lög um landamæri - Brottvísun við brottför,Endurkomubann,TRUE,Sérrefsilagabrot önnur,
2022-136-018-000,Sérrefsilagabrot,Stjórnarfar - lögreglumálefni,Lög um landamæri - Settur af loftfari eða sjófari án heimildar,,TRUE,Sérrefsilagabrot önnur,
2022-82-0000-000,Sérrefsilagabrot,Atvinnuvegir - fiskveiðar og sjávarútveg,Lög um áhafnir skipa,,TRUE,Sérrefsilagabrot önnur,
430-2014-000-000,Sérrefsilagabrot,Lögreglusamþykktir,Brot á lögreglusamþykkt fyrir Árborg,,TRUE,Brot gegn lögreglusamþykkt,
705-2009-000-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á reglugerð um asbestúrgang,,TRUE,Sérrefsilagabrot önnur,
1989-279-000-000,Umferðarlagabrot,XIII. kafli Ökutæki,Brot á reglugerð um merki á skólabifreiðum,,TRUE,Umferðarlagabrot,
1992-394-000-000,Umferðarlagabrot,XIII. kafli Ökutæki,Reglur um tengingu og drátt ökutækja,Grein 1,TRUE,Umferðarlagabrot,
1992-394-000-000,Umferðarlagabrot,XIII. kafli Ökutæki,Reglur um tengingu og drátt ökutækja,Grein 2,TRUE,Umferðarlagabrot,
1995-136-002-001,Umferðarlagabrot,Um ökumenn,"Brot á reglum um aksturstíma sbr. 2. gr. rlg. um hvíldartíma nr. 136/1995, sbr. 44. gr. umfl. nr. 50/1987.",,TRUE,Umferðarlagabrot,
1995-136-002-002,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,"Akstursdagur ökumanns 4 til 8 klst of langur  (Reglug. nr. 136/1995, sbr. 6. mgr. 44. gr. umfl.)","Akstursdagur ökumanns 4 til 8 klst of langur  (Reglug. nr. 136/1995, sbr. 6. mgr. 44. gr. umfl.)",TRUE,Umferðarlagabrot,
1995-136-002-007,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,"Akstursdagur ökumanns allt að 4 klst of langur  (Reglug. nr. 136/1995, sbr. 6. mgr. 44. gr. umfl.)","Akstursdagur ökumanns allt að 4 klst of langur  (Reglug. nr. 136/1995, sbr. 6. mgr. 44. gr. umfl.)",TRUE,Umferðarlagabrot,
1995-572-003-000,Umferðarlagabrot,Reglugerð um gerð og búnað ökutækja,Prófun ökurita,Prófun á 6 ára fresti,TRUE,Umferðarlagabrot,
1997-501-050-000,Umferðarlagabrot,Um ökumenn,"Ekki sótt um samrit ökuskírteins þó svo það hafi glatast, skemmst,slitnað eða að áritanir, númer, stimplar, ljósmynd ógreinileg",,TRUE,Umferðarlagabrot,
2000-984-006-001,Umferðarlagabrot,Viðauki iii - reglugerð um flutning á hættulegum farmi,Hættulegur farmur- Umbúðir uppfylla ekki kröfur ADR-reglna (73. gr. sbr.1. mgr. 6.gr. reglugerðar nr. 984/2000),,TRUE,Sérrefsilagabrot önnur,
2003-751-035-003,Umferðarlagabrot,XIII. kafli Ökutæki,Notkun skráningarmerkja,Skráningarmerki vantar eða ekki sýnilegt,TRUE,Umferðarlagabrot,
2004-822-007-000,Umferðarlagabrot,Reglugerð um gerð og búnað ökutækja,Ljósker og glitaugu,Um ljósker og glitaugu,TRUE,Umferðarlagabrot,
2004-822-021-000,Umferðarlagabrot,Reglugerð um gerð og búnað ökutækja,Tengibúnaður,21.10 Bifreið,TRUE,Umferðarlagabrot,
2004-822-023-000,Umferðarlagabrot,Reglugerð um gerð og búnað ökutækja,Um gerð og búnað ökutækja,01.4b Afturvörnin skal ekki vera framar en svo að 400 mm séu frá öftustu brún ökutækis að öftustu brún varnarinnar,TRUE,Umferðarlagabrot,
2004-822-023-000,Umferðarlagabrot,Reglugerð um gerð og búnað ökutækja,Um gerð og búnað ökutækja,04.2 Framvörnin skal ekki vera breiðari en hjólhlífar framhjóla,TRUE,Umferðarlagabrot,
2006-661-000-000,Umferðarlagabrot,Um ökumenn,Brot á reglugerð um ökurita og notkun hans,,TRUE,Umferðarlagabrot,
2006-661-004-002,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Ökutæki ekki búið ökurita,Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-004-002,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Ökutæki ekki búið ökurita,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-661-012-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,"Ökuriti vinnur ekki rétt (12. gr. rgl. 661/2006, sbr.44. gr. umferðarlaga)",Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-012-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,"Ökuriti vinnur ekki rétt (12. gr. rgl. 661/2006, sbr.44. gr. umferðarlaga)",Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-661-012-003,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,"Starfsskýrslur, ökuritaskífur og rafrænar upplýsingar sem tilgreindar eru í 1. mgr. 12. gr. ekki varðveittar í a.m.k. eitt ár",Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-012-005,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Ökumaður hefur ekki nægilega margar ökuritaskífur (bifreið búin skífuökurita),Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-012-005,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Ökumaður hefur ekki nægilega margar ökuritaskífur (bifreið búin skífuökurita),Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-661-012-006,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Ökumaður hefur ekki ökumannskort (bifreið búin  rafrænum ökurita) 12. gr. rg. 661/2006 sbr. 44. gr.a.,Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-012-006,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Ökumaður hefur ekki ökumannskort (bifreið búin  rafrænum ökurita) 12. gr. rg. 661/2006 sbr. 44. gr.a.,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-661-012-007,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Eftirlitsmanni ekki veittur aðgangur að upplýsingum,Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-012-007,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Eftirlitsmanni ekki veittur aðgangur að upplýsingum,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-661-012-008,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,"Ökumannskort, skífur og önnur gögn ekki vel læsileg, hrein og óskemmd 12. gr. rg. 661/2006 sbr. 44. gr.a.",Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-012-008,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,"Ökumannskort, skífur og önnur gögn ekki vel læsileg, hrein og óskemmd 12. gr. rg. 661/2006 sbr. 44. gr.a.",Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-661-012-012,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Eftirlitsmanni ekki veittur aðgangur að ökuritaskífum,Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-012-012,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Eftirlitsmanni ekki veittur aðgangur að ökuritaskífum,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-661-012-013,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Lögreglu eða eftirlitsmanni ekki afhent útprentað blað úr rafrænum ökurita,Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-012-013,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Lögreglu eða eftirlitsmanni ekki afhent útprentað blað úr rafrænum ökurita,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-661-013-001,Umferðarlagabrot,XIII. kafli Ökutæki,"Ökuriti ekki notaður, sbr. 1. mgr. 13. gr. rgl. nr. 6612006",,TRUE,Umferðarlagabrot,
2006-661-013-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Ökuritaskífa notuð lengur en einn akstursdag,Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-013-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Fleiri en ein skífa notuð á sama akstursdegi án þess að heimild 1. mgr. 13. gr i. f. eigi við,Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-013-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Fleiri en ein skífa notuð á sama akstursdegi án þess að heimild 1. mgr. 13. gr i. f. eigi við,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-661-013-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Ökuritaskífa notuð lengur en einn akstursdag,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-661-013-003,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Ökuritaskífa ekki rétt útfyllt,Sekt eiganda eða stjórnanda í starfi,TRUE,Umferðarlagabrot,
2006-661-013-003,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Ökuritaskífa ekki rétt útfyllt,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-662-000-000,Umferðarlagabrot,Um ökumenn,Brot á reglugerð um aksturs- og hvíldartíma ökumanna,Umframtími allt að 10%,TRUE,Umferðarlagabrot,
2006-662-000-000,Umferðarlagabrot,Um ökumenn,Brot á reglugerð um aksturs- og hvíldartíma ökumanna,Umframtími allt að 20%,TRUE,Umferðarlagabrot,
2006-662-000-000,Umferðarlagabrot,Um ökumenn,Brot á reglugerð um aksturs- og hvíldartíma ökumanna,Umframtími allt að 30%,TRUE,Umferðarlagabrot,
2006-662-000-000,Umferðarlagabrot,Um ökumenn,Brot á reglugerð um aksturs- og hvíldartíma ökumanna,Umframtími allt að 40%,TRUE,Umferðarlagabrot,
2006-662-000-000,Umferðarlagabrot,Um ökumenn,Brot á reglugerð um aksturs- og hvíldartíma ökumanna,Umframtími meira en 40%,TRUE,Umferðarlagabrot,
2006-662-006-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Daglegur aksturstími að hámarki 10 klukkustundir,Sekt eiganda,TRUE,Umferðarlagabrot,
2006-662-006-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Daglegur aksturstími að hámarki 10 klukkustundir,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-662-006-002,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Aksturstími á hverjum 14 dögum að hámarki 90 klukkustundir,Sekt eiganda,TRUE,Umferðarlagabrot,
2006-662-006-002,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Aksturstími á hverjum 14 dögum að hámarki 90 klukkustundir,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-662-007-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,"Akstur án hlés að hámarki 4,5 klukkustundir",Sekt eiganda,TRUE,Umferðarlagabrot,
2006-662-007-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,"Akstur án hlés að hámarki 4,5 klukkustundir",Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-662-008-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Daglegur hvíldartími að lágmarki 9 klukkustundir,Sekt eiganda,TRUE,Umferðarlagabrot,
2006-662-008-001,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Daglegur hvíldartími að lágmarki 9 klukkustundir,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-662-008-002,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Daglegur lágmarks hvíldartími lengdur í 12 klst,Hvíldartími ekki í eitt skipti amk samfelldar 8 klst,TRUE,Umferðarlagabrot,
2006-662-008-003,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Daglegur hvíldartími - tveir ökumenn - að lágmarki 8 klukkustundir,Sekt eiganda,TRUE,Umferðarlagabrot,
2006-662-008-003,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Daglegur hvíldartími - tveir ökumenn - að lágmarki 8 klukkustundir,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-662-010-000,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Vikulegur hvíldartími - lágmark 45 klst.,Sekt eiganda,TRUE,Umferðarlagabrot,
2006-662-010-000,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Vikulegur hvíldartími - lágmark 24 klst. annars staðar en í bækistöð flytjanda,Sekt eiganda,TRUE,Umferðarlagabrot,
2006-662-010-000,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Vikulegur hvíldartími - lágmark 24 klst. annars staðar en í bækistöð flytjanda,Sekt ökumanns,TRUE,Umferðarlagabrot,
2006-662-010-000,Umferðarlagabrot,Viðauki ii - reglugerð um aksturs- og hvíldartíma ökumanna,Vikulegur hvíldartími - lágmark 45 klst.,Sekt ökumanns,TRUE,Umferðarlagabrot,
2007-155-000-000,Umferðarlagabrot,XIII. kafli Ökutæki,Brot á reglugerð um stærð og þyngd ökutækja,,TRUE,Umferðarlagabrot,
2007-155-004-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Brot á ákvæðum um merkingu vagnlestar,,TRUE,Umferðarlagabrot,
2007-155-005-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Lengd ökutækis umfram leyfilegt hámark,Grein 5a,TRUE,Umferðarlagabrot,
2007-155-005-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Lengd ökutækis umfram leyfilegt hámark,Grein 5b,TRUE,Umferðarlagabrot,
2007-155-005-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Lengd ökutækis umfram leyfilegt hámark,Grein 5c,TRUE,Umferðarlagabrot,
2007-155-005-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Lengd ökutækis umfram leyfilegt hámark,Grein 5d,TRUE,Umferðarlagabrot,
2007-155-005-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Lengd ökutækis umfram leyfilegt hámark,Grein 5e,TRUE,Umferðarlagabrot,
2007-155-005-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Lengd ökutækis umfram leyfilegt hámark,Grein 5f,TRUE,Umferðarlagabrot,
2007-155-005-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Lengd ökutækis umfram leyfilegt hámark,Grein 5g,TRUE,Umferðarlagabrot,
2007-155-005-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Lengd ökutækis umfram leyfilegt hámark,Grein 5h,TRUE,Umferðarlagabrot,
2007-155-006-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Lengd vagnlestar umfram leyfilegt hámark,,TRUE,Umferðarlagabrot,
2007-155-007-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Breidd ökutækis umfram leyfilegt hámark,,TRUE,Umferðarlagabrot,
2007-155-008-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Breidd eftirvagns umfram leyfilegt hámark,,TRUE,Umferðarlagabrot,
2007-155-009-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Hæð ökutækis umfram leyfilegt hámark,,TRUE,Umferðarlagabrot,
2007-155-010-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Heildarþyngd og ásþungi,Brot á ásþyngd,TRUE,Umferðarlagabrot,
2007-155-010-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Heildarþyngd og ásþungi,Brot á heildarþyngd,TRUE,Umferðarlagabrot,
2007-155-010-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Heildarþyngd og ásþungi,Brot á skráningu,TRUE,Umferðarlagabrot,
2007-155-011-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Tímabundin takmörkun leyfilegs heildarþunga,Brot á takmörkun um öxulþunga,TRUE,Umferðarlagabrot,
2007-155-012-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Frávik frá leyfilegri heildarþyngd ökutækis,Grein 12a,TRUE,Umferðarlagabrot,
2007-155-012-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Frávik frá leyfilegri heildarþyngd ökutækis,Grein 12b,TRUE,Umferðarlagabrot,
2007-155-013-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja",Reglur um undanþágu vegna sérstaks flutnings,Brot á skilyrðum um undanþágu,TRUE,Umferðarlagabrot,
2008-671-002-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Farm ökutækis skal skorða tryggilega og festa við ökutækið,TRUE,Umferðarlagabrot,
2008-671-002-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms","Farmrými, sem eru afmörkuð skulu vera tryggilega lokuð á meðan flutningi stendur",TRUE,Umferðarlagabrot,
2008-671-002-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Rokgjarn farmur skal bundinn með bindiefni eða yfirbreiðslu,TRUE,Umferðarlagabrot,
2008-671-002-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Stafi leka frá farmi skal vera safnþró í farmrými,TRUE,Umferðarlagabrot,
2008-671-002-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Sturtupallar og önnur farmrými skulu tryggilega fest við ökutæki,TRUE,Umferðarlagabrot,
2008-671-002-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Vörulyfta skal vera í lóðréttri stöðu í akstri,TRUE,Umferðarlagabrot,
2008-671-004-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu vegna fjárflutninga",sbr. reglugerð nr. 671/2008,TRUE,Umferðarlagabrot,
2008-671-005-001,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Gámar skulu festir með a.m.k fjórum farmlásum sem næst hornum,TRUE,Umferðarlagabrot,
2008-671-006-001,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms","Rör, kefli og aðrir sívalningar",TRUE,Umferðarlagabrot,
2008-671-007-001,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Til varnar framskriði skal nota styttur eða skjólborð,TRUE,Umferðarlagabrot,
2008-671-007-001,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Til varnar hliðarskriði skal binda farm tryggilega,TRUE,Umferðarlagabrot,
2008-671-007-001,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Þegar styttur eru notaðar skal hver farmeining ná að lágmarki yfir tvær styttur,TRUE,Umferðarlagabrot,
2008-671-008-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Hæðarmörk lausra jarðefna,TRUE,Umferðarlagabrot,
2008-671-008-000,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot á reglugerð um hleðslu, frágang og merkingu farms",Hæðarmörk þyngdarpunkts hnullunga (>1000 cm3),TRUE,Umferðarlagabrot,
2008-671-009-001,Umferðarlagabrot,"X. Kafli. Flutningur, hleðsla, þyngd og stærð ökutækja","Brot um reglugerð á hleðslu, frágang og merkingu farms",Farmur nær meira en 50 sm aftur fyrir ökutæki,TRUE,Umferðarlagabrot,
