Ártal,Grófflokkun,Fínflokkun,Lýsing,Nánar,Virkur,Listi sakarefna í Réttarvörslugátt/Frá dómstólum,Spurningar / athugasemdir
1940-019-142-001,Hegningarlagabrot,Rangur framburður og rangar sakargiftir,Rangur framburður fyrir rétti eða stjórnvaldi,Rangur framburður fyrir rétti eða stjórnvaldi,TRUE,Hegningarlagabrot önnur,
1940-019-144-001,Hegningarlagabrot,Rangur framburður og rangar sakargiftir,Rangur framburður fyrir rétti eða stjórnvaldi af stórfelldu gáleysi,,TRUE,Hegningarlagabrot önnur,
1940-019-145-001,Hegningarlagabrot,Rangur framburður og rangar sakargiftir,Rangar yfirlýsingar að viðlögðum drengskap hjá stjórnvaldi,,TRUE,Hegningarlagabrot önnur,
1940-019-146-001,Hegningarlagabrot,Rangur framburður og rangar sakargiftir,Rangar yfirlýsingar hjá stjórnvaldi,Rangar yfirlýsingar hjá stjórnvaldi,TRUE,Hegningarlagabrot önnur,
1940-019-147-001,Hegningarlagabrot,Rangur framburður og rangar sakargiftir,Rangar yfirlýsingar ætlaðar til notkunar í dómsmálum,,TRUE,Hegningarlagabrot önnur,
1940-019-148-001,Hegningarlagabrot,Rangur framburður og rangar sakargiftir,Rangar sakargiftir,,TRUE,Hegningarlagabrot önnur,
1940-019-149-001,Hegningarlagabrot,Rangur framburður og rangar sakargiftir,Rangur uppljóstur,,TRUE,Hegningarlagabrot önnur,
1940-019-150-001,Hegningarlagabrot,Peningafals og önnur brot er varða gjaldmiðil,Peningafals,,TRUE,Hegningarlagabrot önnur,
1940-019-151-001,Hegningarlagabrot,Peningafals og önnur brot er varða gjaldmiðil,"Peningafals, fölsuðum peningum komið í umferð",,TRUE,Hegningarlagabrot önnur,
1940-019-152-001,Hegningarlagabrot,Peningafals og önnur brot er varða gjaldmiðil,"Peningafals, fölsuðum peningum komið í umferð þrátt fyirr grun um fölsun",,TRUE,Hegningarlagabrot önnur,
1940-019-153-001,Hegningarlagabrot,Peningafals og önnur brot er varða gjaldmiðil,"Peningafölsun, hlutir sem líkjast peningum eða verðbréfum",,TRUE,Hegningarlagabrot önnur,
1940-019-155-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Skjalafals,"Skjalafals- skilríki, vegabréf, kennivottorð",TRUE,Hegningarlagabrot önnur,
1940-019-155-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Skjalafals,Skjalafals-annað,TRUE,Hegningarlagabrot önnur,
1940-019-155-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Skjalafals,Skjalafals-greiðslukort,TRUE,Hegningarlagabrot önnur,
1940-019-155-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Skjalafals,Skjalafals-lyfseðlar,TRUE,Hegningarlagabrot önnur,
1940-019-155-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Skjalafals,Skjalafals-skjöl,TRUE,Hegningarlagabrot önnur,
1940-019-155-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Skjalafals,Skjalafals-skuldabréf,TRUE,Hegningarlagabrot önnur,
1940-019-155-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Skjalafals,Skjalafals-tékkar,TRUE,Hegningarlagabrot önnur,
1940-019-155-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Skjalafals,Skjalafals-víxlar,TRUE,Hegningarlagabrot önnur,
1940-019-155-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Skjalafals,Skjalafals-Ökuskírteini breytifalsað,TRUE,Hegningarlagabrot önnur,
1940-019-155-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Skjalafals,Skjalafals-Ökuskírteini grunnfalsað,TRUE,Hegningarlagabrot önnur,
1940-019-156-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,"Skjalafals, skjalasvik, útgefandi skjals gabbaður",,TRUE,Hegningarlagabrot önnur,
1940-019-157-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,"Skjal, misnotkun skjals",Framvísun skilríkja annars manns,TRUE,Hegningarlagabrot önnur,
1940-019-157-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,"Skjal, misnotkun skjals",Framvísun skilríkja í blekkingarskyni,TRUE,Hegningarlagabrot önnur,
1940-019-157-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,"Skjal, misnotkun skjals",Misnotkun skráningarmerkja,TRUE,Hegningarlagabrot önnur,
1940-019-158-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,"Skjalafals, rangfærsla skjala til að blekkja með því í lögskiptum",,TRUE,Hegningarlagabrot önnur,
1940-019-158-002,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,"Brot gegn 2. mgr., sbr. 1. mgr., 158. gr. almennra hegningarlaga nr. 19/1940 (notkun á röngu skjali)",,TRUE,Hegningarlagabrot önnur,
1940-019-159-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,"Skjalafals, röng notkun stimpils eða merkis",,TRUE,Hegningarlagabrot önnur,
1940-019-162-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Rangfærsla sönnunargagna í því skyni að hafa áhrif á úrslit dómsmáls,,TRUE,Hegningarlagabrot önnur,
1940-019-162-002,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,"Sönnunargagn eyðilagt, komið undan eða gert ónothæft að öllu leyti eða einhverju, til að halla eða fyrirgera rétti annarra",,TRUE,Hegningarlagabrot önnur,
1940-019-163-001,Hegningarlagabrot,Skjalafals og önnur brot er varða sýnileg sönnunargögn,Rangfærsla sönnunargagna er varða mörk fasteignréttinda,,TRUE,Hegningarlagabrot önnur,
1940-019-164-001,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu","Brenna, íkveikja",,TRUE,Hegningarlagabrot önnur,
1940-019-164-002,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu","Brenna, íkveikja þar sem mönnum mundi vera af því bersýnilegur lífsháski búinn eða eldsvoðinn mundi hafa í för með sér augljósa hættu á yfirgripsmikilli eyðingu á eignum annarra manna",,TRUE,Hegningarlagabrot önnur,
1940-019-165-001,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Öðrum bakað tjón á líkama eða eignum,með óförum farar- eða flutningstækja,TRUE,Hegningarlagabrot önnur,
1940-019-165-001,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Öðrum bakað tjón á líkama eða eignum,með útbreiðslu skaðlegra lofttegunda,TRUE,Hegningarlagabrot önnur,
1940-019-165-001,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Öðrum bakað tjón á líkama eða eignum,með vatnsflóði,TRUE,Hegningarlagabrot önnur,
1940-019-165-001,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Öðrum bakað tjón á líkama eða eignum,með því að valda sprengingu,TRUE,Hegningarlagabrot önnur,
1940-019-165-002,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Flugrán,,TRUE,Hegningarlagabrot önnur,
1940-019-167-000,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu","Brenna, öðrum bakað tjón, gáleysi",,TRUE,Hegningarlagabrot önnur,
1940-019-168-000,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Öryggi loftfara eða annarra farartækja raskað,,TRUE,Hegningarlagabrot önnur,
1940-019-169-000,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Ekki reynt að koma í veg fyrir almannahættu,,TRUE,Hegningarlagabrot önnur,
1940-019-170-000,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Lífi manna stofnað í hættu með skorti á eða spillingu drykkjarvatns,,TRUE,Hegningarlagabrot önnur,
1940-019-173-001,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Útbreiðsla læknalyfja,Sala og/eða dreifing,TRUE,Hegningarlagabrot önnur,
1940-019-173a-001,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu","Fíkniefni, stórfellt brot gegn lögum um ávana- og fíkniefni",Framleiðsla/tilbúningur,TRUE,Hegningarlagabrot önnur,
1940-019-173a-001,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu","Fíkniefni, stórfellt brot gegn lögum um ávana- og fíkniefni",Sala og dreifing,TRUE,Hegningarlagabrot önnur,
1940-019-173a-002,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu","Fíkniefni, stórfellt brot gegn lögum um ávana- og fíkniefni",Innflutningur/útflutningur,TRUE,Hegningarlagabrot önnur,
1940-019-174-000,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Lífi eða heilbrigði húsdýra stofnað í hættu sbr. 170.-173. gr. alm.hgl.,,TRUE,Hegningarlagabrot önnur,
1940-019-175-000,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu","Valdið hættu á því að næmir sjúkdómar berist út meðal manna, dýra eða jurta",,TRUE,Hegningarlagabrot önnur,
1940-019-175a-000,Hegningarlagabrot,"Brot, sem hafa í för með sér almannahættu",Sammælst um að fremja refsiverðan verknað sem liður í skipulagðri brotastarfsemi,,TRUE,Hegningarlagabrot önnur,
1940-019-176-000,Hegningarlagabrot,Ýmis brot á hagsmunum almennings,"Verulegri truflun valdið á rekstri almennra samgöngutækja, póst-, síma-útvarpsrekstri, virkjana o.fl.",,TRUE,Hegningarlagabrot önnur,
1940-019-177-000,Hegningarlagabrot,Ýmis brot á hagsmunum almennings,"Opinber minnismerki eða hlutir, sem ætlaðir eru til almennings nota eða skrauts, eða hluti, sem teljast til opinberra safna eða eru sérstaklega friðaðir, teknir burt eða skemmdir",,TRUE,Hegningarlagabrot önnur,
1940-019-178-001,Hegningarlagabrot,Ýmis brot á hagsmunum almennings,Fölsun - Vörueftirlíkingar,,TRUE,Hegningarlagabrot önnur,
1940-019-179-002,Hegningarlagabrot,Ýmis brot á hagsmunum almennings,Geymir eða losar úrgang eða skaðleg efni þannig að af hlýst verulegt tjón á umhverfi eða veldur yfirvofandi hættu á slíku tjóni,,TRUE,Hegningarlagabrot önnur,
1940-019-180-000,Hegningarlagabrot,Brot á reglum um framfærslu og atvinnuháttu,"Manni neitað um vörur eða þjónustu á grundvelli þjóðernis, litarháttar, kynþáttar trúarbragða eða kynhneigðar",,TRUE,Hegningarlagabrot önnur,
1940-019-183-001,Hegningarlagabrot,Brot á reglum um framfærslu og atvinnuháttu,Fjárhættuspil eða veðmál gert að atvinnu eða öðrum komið til þátttöku í þeim,,TRUE,Hegningarlagabrot önnur,
1940-019-184-000,Hegningarlagabrot,Brot á reglum um framfærslu og atvinnuháttu,Tekna aflað beint eða óbeint með því að láta fjárhættuspil eða veðmál fara fram í húsnæði viðkomandi hefur umráð yfir,,TRUE,Hegningarlagabrot önnur,
1940-019-186-001,Hegningarlagabrot,Brot á reglum um framfærslu og atvinnuháttu,Starf sem opinbert leyfi eða viðurkenningu þarf til að gegna unnið í heimildarleysi,,TRUE,Hegningarlagabrot önnur,
1940-019-187-000,Hegningarlagabrot,Brot á reglum um framfærslu og atvinnuháttu,Brotið gegn skyldum gagnvart hinu opinbera eftir að hafa fengið opinbert leyfi til einhverrar einkastarfsemi eða atvinnurekstrar sem óheimilt er að stunda án slíks leyfis,,TRUE,Hegningarlagabrot önnur,
1940-019-188-001,Hegningarlagabrot,Sifskaparbrot,Tvíkvæni,,TRUE,Hegningarlagabrot önnur,
1940-019-192-001,Hegningarlagabrot,Sifskaparbrot,Brot gegn 1. mgr. 192. gr. almennra hegningarlaga nr. 19/1940 (rangfærsla á sönnun á faðerni og móðerni sveinbarns),,TRUE,Hegningarlagabrot önnur,
1940-019-193-001,Hegningarlagabrot,Sifskaparbrot,Svipting valds eða umsjár yfir barni,,TRUE,Hegningarlagabrot önnur,
1940-019-194-001,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, nauðgun (ofbeldi, hótanir eða önnur ólögmæt nauðung)",,TRUE,Nauðgun,
1940-019-194-002,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, misneyting",Andlegir annmarkar,TRUE,Nauðgun,
1940-019-194-002,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, misneyting",Rænuleysi ofl.,TRUE,Nauðgun,
1940-019-197-001,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, samræði eða önnur kynferðismök starfsmanns við vistmann á stofnun (umsjónarmaður eða starfsmaður í fangelsi, annarri stofnun á vegum lögreglu, fangelsisyfirvalda eða barnaverndaryfirvalda, geðdeild sjúkrahúss, heimili fyrir andlega fatlað f",,TRUE,Kynferðisbrot önnur en nauðgun,
1940-019-198-001,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, aðstaða freklega misnotuð til samræðis eða annarra kynferðismaka",,TRUE,Kynferðisbrot önnur en nauðgun,
1940-019-199-000,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, kynferðisleg áreitni ",,TRUE,Kynferðisbrot önnur en nauðgun,
1940-019-199a-001,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, brot gegn kynferðislegri friðhelgi (t.d. stafræn kynferðisbrot)","Útbýr, aflar, dreifir eða birtir myndefni, texta eða sambærilegt efni",TRUE,Kynferðisbrot önnur en nauðgun,
1940-019-199a-002,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, hótun um brot gegn kynferðislegri friðhelgi (t.d. stafræn kynferðisbrot)",,TRUE,Kynferðisbrot önnur en nauðgun,
1940-019-199a-003,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, af gáleysi brot gegn kynferðislegri friðhelgi (t.d. stafræn kynferðisbrot)","Af gáleysi útbýr, aflar, dreifir eða birtir myndefni, texta eða sambærilegt efni",TRUE,Kynferðisbrot önnur en nauðgun,
1940-019-200-001,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, sifjaspell, samræði eða önnur kynferðismök (við niðja óháð aldri)",,TRUE,Kynferðisbrot önnur en nauðgun,
1940-019-200-002,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, sifjaspell, önnur kynferðisleg áreitni (við niðja óháð aldri)",,TRUE,Kynferðisbrot önnur en nauðgun,
1940-019-200-003,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, samræði eða önnur kynferðismök milli systkina (óháð aldri)",,TRUE,Kynferðisbrot önnur en nauðgun,
1940-019-201-001,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, samræði eða önnur kynferðismök við barn uppalanda (kjörbarn, stjúpbarn, fósturbarn, sambúðarbarn eða tengt honum þannig fjölskylduböndum í beinan legg eða barn sem honum hefur verið trúað fyrir til kennslu eða uppeldis)",,TRUE,Kynferðisbrot önnur en nauðgun,
1940-019-201-002,Hegningarlagabrot,Kynferðisbrot,"Kynferðisbrot, önnur kynferðisleg áreitni við barn uppalanda (kjörbarn, stjúpbarn, fósturbarn, sambúðarbarn eða tengt honum þannig fjölskylduböndum í beinan legg eða barn sem honum hefur verið trúað fyrir til kennslu eða uppeldis)",,TRUE,Kynferðisbrot önnur en nauðgun,
